"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","chain_length","chunks","cuda","discrete_comm","embedding_size","epochs","group","hidden_size","log_interval","lr","max_message_len","name","num_batches_per_epoch","num_batchs_per_epoch","num_colors","num_listener_views","num_reward_matrices","num_shapes","partial_reward_matrix","save_dir","save_outputs","use_same_agent","vocab_size","wandb","wandb_project_name","current_epoch","train_accuracy","train_accuracy_0","train_accuracy_1","train_accuracy_2","train_accuracy_3","train_accuracy_4","train_loss","train_loss_0","train_loss_1","train_loss_2","train_loss_3","train_loss_4","train_prediction_index","train_reward","train_reward_0","train_reward_1","train_reward_2","train_reward_3","train_reward_4","val_accuracy","val_accuracy_0","val_accuracy_1","val_accuracy_2","val_accuracy_3","val_accuracy_4","val_loss","val_loss_0","val_loss_1","val_loss_2","val_loss_3","val_loss_4","val_prediction_index","val_reward","val_reward_0","val_reward_1","val_reward_2","val_reward_3","val_reward_4"
"4x4-partial_chunk-2_chain-len-5_run-5","finished","-","dharakyu","","2022-06-03T03:59:24.000Z","3250","","32","5","[2,4,6,8,10,12]","true","true","64","100","4x4-partial_chunk-2_chain-len-5","100","100","0.00001","4","4x4-partial_chunk-2_chain-len-5_run-5","100","","4","1","","4","true","/home/dharakyu/signaling-bandits/outputs","true","true","80","true","signaling-bandits","99","","0.56","0.6234375","0.6228125","0.640625","0.6503125","","-0.7558675992488861","-0.9542611491680144","-0.9685501542687416","-1.015594013929367","-1.0334871789813045","","","0.4990558500172413","0.6312899773151712","0.6410123846757243","0.6721586618429723","0.6891748897252682","","0.5521875","0.6253125","0.633125","0.6328125","0.643125","","-0.7199753659963608","-0.9400188395380974","-0.977151648402214","-0.9647102612257004","-0.9883486300706864","","","0.4865363858614763","0.6342984706276605","0.6617917180673919","0.6529635497920855","0.6684271820762329"
"4x4-partial_chunk-2_chain-len-5_run-4","finished","-","dharakyu","","2022-06-03T03:01:52.000Z","3438","","32","5","[2,4,6,8,10,12]","true","true","64","100","4x4-partial_chunk-2_chain-len-5","100","100","0.00001","4","4x4-partial_chunk-2_chain-len-5_run-4","100","","4","1","","4","true","/home/dharakyu/signaling-bandits/outputs","true","true","80","true","signaling-bandits","99","","0.5496875","0.6053125","0.59125","0.599375","0.6040625","","-0.7324867421388626","-0.9002481111884117","-0.8822685557603837","-0.8875996914505958","-0.898347449451685","","","0.49362021469281536","0.610581572025485","0.5977153846796323","0.602138453365813","0.6073761739997188","","0.5234375","0.5971875","0.60625","0.60875","0.6125","","-0.6288607206195593","-0.8505346146225929","-0.88050836622715","-0.8730071267485618","-0.8753335377573968","","","0.4356839804721602","0.5911532139046735","0.6088721731052611","0.6027954459108131","0.6014019497653789"
"4x4-partial_chunk-2_chain-len-5_run-3","finished","-","dharakyu","","2022-06-03T02:08:23.000Z","3196","","32","5","[2,4,6,8,10,12]","true","true","64","100","4x4-partial_chunk-2_chain-len-5","100","100","0.00001","4","4x4-partial_chunk-2_chain-len-5_run-3","100","","4","1","","4","true","/home/dharakyu/signaling-bandits/outputs","true","true","80","true","signaling-bandits","99","","0.5628125","0.6059375","0.6103125","0.6084375","0.6234375","","-0.710827996879816","-0.860661333501339","-0.8794956228137016","-0.8907711976766586","-0.9212150460481644","","","0.48484211776130653","0.5915637692218394","0.6040499251835022","0.6175523681814319","0.6370380476540506","","0.563125","0.5903125","0.603125","0.619375","0.6121875","","-0.7575681553781033","-0.8628984996676445","-0.8979036051034928","-0.9481593045592308","-0.936222658008337","","","0.5019736276914972","0.5770338372804161","0.602460090506756","0.6371873924152067","0.630707584278623"
"4x4-partial_chunk-2_chain-len-2_run-5","finished","-","dharakyu","","2022-06-03T01:51:45.000Z","1563","","32","2","[2,4,6,8,10,12]","true","true","64","100","4x4-partial_chunk-2_chain-len-2","100","100","0.00001","4","4x4-partial_chunk-2_chain-len-2_run-5","100","","4","1","","4","true","/home/dharakyu/signaling-bandits/outputs","true","true","80","true","signaling-bandits","99","","0.5528125","0.603125","","","","","-0.7664823359251023","-0.8581536918878555","","","","","","0.5138591708794636","0.5783404244348683","","","","","0.5540625","0.5815625","","","","","-0.724829106926918","-0.8332711379975081","","","","","","0.48641433691838626","0.5569112768815146","","",""
"4x4-partial_chunk-2_chain-len-2_run-4","finished","-","dharakyu","","2022-06-03T01:14:44.000Z","2209","","32","2","[2,4,6,8,10,12]","true","true","64","100","4x4-partial_chunk-2_chain-len-2","100","100","0.00001","4","4x4-partial_chunk-2_chain-len-2_run-4","100","","4","1","","4","true","/home/dharakyu/signaling-bandits/outputs","true","true","80","true","signaling-bandits","99","","0.5496875","0.5740625","","","","","-0.7369232046604156","-0.8415918520092964","","","","","","0.5067998848995591","0.5750753616698832","","","","","0.521875","0.5784375","","","","","-0.6979535941779613","-0.8450609523057938","","","","","","0.4668001728516801","0.5629329468569026","","",""
"4x4-partial_chunk-2_chain-len-5_run-2","finished","-","dharakyu","","2022-06-03T01:11:33.000Z","3398","","32","5","[2,4,6,8,10,12]","true","true","64","100","4x4-partial_chunk-2_chain-len-5","100","100","0.00001","4","4x4-partial_chunk-2_chain-len-5_run-2","100","","4","1","","4","true","/home/dharakyu/signaling-bandits/outputs","true","true","80","true","signaling-bandits","99","","0.570625","0.601875","0.6134375","0.6284375","0.6165625","","-0.7653053496778012","-0.8781751677393913","-0.9265244165062904","-0.9427882632613184","-0.9235059222579004","","","0.5079146230363142","0.5836543940482081","0.6181965376848401","0.6325972208210174","0.618569081282648","","0.5615625","0.591875","0.6034375","0.610625","0.613125","","-0.7584101393818855","-0.8641798523068428","-0.9151219308376312","-0.9372268140316008","-0.9475471550226212","","","0.5065472427799583","0.5779069231509777","0.6116344338481173","0.6297403058320364","0.631223863325437"
"4x4-partial_chunk-2_chain-len-5_run-1","finished","-","dharakyu","","2022-06-03T00:18:39.000Z","3156","","32","5","[2,4,6,8,10,12]","true","true","64","100","4x4-partial_chunk-2_chain-len-5","100","100","0.00001","4","4x4-partial_chunk-2_chain-len-5_run-1","100","","4","1","","4","true","/home/dharakyu/signaling-bandits/outputs","true","true","80","true","signaling-bandits","99","","0.5475","0.6053125","0.614375","0.616875","0.6178125","","-0.7366516262292861","-0.8946004378795623","-0.953373027779162","-0.9562292659282684","-0.9635888373851776","","","0.4889665275115978","0.6019383610603893","0.6388384104624913","0.6450626807724001","0.648353840420586","","0.559375","0.618125","0.6346875","0.648125","0.6546875","","-0.7846899938583374","-0.9463544058799744","-0.994523009955883","-1.02250452876091","-1.0287253591418266","","","0.5125035664946461","0.6222262752408197","0.6530459917524811","0.6732095444907397","0.6765669090898923"
"4x4-partial_chunk-2_chain-len-4_run-5","finished","-","dharakyu","","2022-06-02T23:37:59.000Z","2431","","32","4","[2,4,6,8,10,12]","true","true","64","100","4x4-partial_chunk-2_chain-len-4","100","100","0.00001","4","4x4-partial_chunk-2_chain-len-4_run-5","100","","4","1","","4","true","/home/dharakyu/signaling-bandits/outputs","true","true","80","true","signaling-bandits","99","","0.5646875","0.619375","0.628125","0.6340625","","","-0.7753394538350403","-0.9359744064509868","-0.967808285355568","-0.9904599913954736","","","","0.5090161867474192","0.6185992282356253","0.6391239399325401","0.6564881707532173","","","0.56","0.59875","0.6296875","0.6359375","","","-0.7028136821463704","-0.8434398809075355","-0.910316979587078","-0.9215497797727584","","","","0.4818548738653527","0.5827456161260899","0.6304257873770756","0.642488581205881",""
"4x4-partial_chunk-2_chain-len-4_run-4","finished","-","dharakyu","","2022-06-02T22:57:09.000Z","2440","","32","4","[2,4,6,8,10,12]","true","true","64","100","4x4-partial_chunk-2_chain-len-4","100","100","0.00001","4","4x4-partial_chunk-2_chain-len-4_run-4","100","","4","1","","4","true","/home/dharakyu/signaling-bandits/outputs","true","true","80","true","signaling-bandits","99","","0.5559375","0.60125","0.61875","0.61125","","","-0.7274838746339083","-0.8855158542096615","-0.9215584675967692","-0.92651486992836","","","","0.4902340473883145","0.5960211679095843","0.6184224099632113","0.626980182713457","","","0.556875","0.5825","0.605","0.611875","","","-0.7163092070817947","-0.7936472709476948","-0.8862744086980819","-0.8979625947773456","","","","0.48134819309320714","0.539006005332116","0.5988229104005934","0.6080683419891275",""
"4x4-partial_chunk-2_chain-len-4_run-3","finished","-","dharakyu","","2022-06-02T22:16:14.000Z","2447","","32","4","[2,4,6,8,10,12]","true","true","64","100","4x4-partial_chunk-2_chain-len-4","100","100","0.00001","4","4x4-partial_chunk-2_chain-len-4_run-3","100","","4","1","","4","true","/home/dharakyu/signaling-bandits/outputs","true","true","80","true","signaling-bandits","99","","0.543125","0.605","0.613125","0.6303125","","","-0.7166612397879362","-0.8797404477000237","-0.9255223479866982","-0.9605208802223204","","","","0.48188512574350745","0.5930343214682814","0.6250473421813395","0.6535666745572511","","","0.5459375","0.593125","0.613125","0.61125","","","-0.6874649038910866","-0.8540008087456227","-0.9181907327473164","-0.9193645253777504","","","","0.46283513203594223","0.5765742204969284","0.6224926731750204","0.625824925874879",""
