"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","chain_length","chunks","cuda","discrete_comm","embedding_size","epochs","group","hidden_size","ingest_multiple_messages","log_interval","lr","max_message_len","name","num_batches_per_epoch","num_batchs_per_epoch","num_colors","num_listener_views","num_reward_matrices","num_shapes","optimize_jointly","partial_reward_matrix","save_dir","save_outputs","train_chain_length","use_same_agent","vocab_size","wandb","wandb_project_name","inductive_bias","learn_from_demo","learn_from_demos","no_additional_info","num_examples_for_demos","num_utilities_seen_in_training","pedagogical_sampling","perfect_teacher","same_agent_view","shuffle_agents","teacher_alpha","use_bayesian_teacher","train_percent","current_epoch","train_accuracy","train_accuracy_0","train_accuracy_1","train_accuracy_2","train_accuracy_3","train_accuracy_4","train_loss","train_loss_0","train_loss_1","train_loss_2","train_loss_3","train_loss_4","train_prediction_index","train_reward","train_reward_0","train_reward_1","train_reward_2","train_reward_3","train_reward_4","val_accuracy","val_accuracy_0","val_accuracy_1","val_accuracy_2","val_accuracy_3","val_accuracy_4","val_loss","val_loss_0","val_loss_1","val_loss_2","val_loss_3","val_loss_4","val_prediction_index","val_reward","val_reward_0","val_reward_1","val_reward_2","val_reward_3","val_reward_4","train_correlation","train_jsd","train_mean Bayesian score","val_correlation","val_jsd","val_mean Bayesian score","train_jsd_alpha=1","train_jsd_alpha=10","train_jsd_alpha=100","train_jsd_alpha=1000","train_jsd_alpha=10000","train_mean Bayesian score_alpha=1","train_mean Bayesian score_alpha=10","train_mean Bayesian score_alpha=100","train_mean Bayesian score_alpha=1000","train_mean Bayesian score_alpha=10000","train_num_unique_demos","val_jsd_alpha=1","val_jsd_alpha=10","val_jsd_alpha=100","val_jsd_alpha=1000","val_jsd_alpha=10000","val_mean Bayesian score_alpha=1","val_mean Bayesian score_alpha=10","val_mean Bayesian score_alpha=100","val_mean Bayesian score_alpha=1000","val_mean Bayesian score_alpha=10000","val_num_unique_demos"
"perfect-teacher_random-demo_k=20_5","finished","-","dharakyu","","2023-01-27T09:13:44.000Z","281","","32","2","","true","false","64","40","perfect-teacher_random-demo_k=20","100","false","100","0.000005","4","perfect-teacher_random-demo_k=20_5","100","","4","","","4","true","false","/home/dharakyu/signaling-bandits/qualitative_analysis","false","","false","80","true","signaling-bandits","false","","true","false","20","","false","true","false","false","1","false","0.8","39","","0.894375","0.564375","","","","","-4.39284814119339","-2.1755356976389884","","","","","","0.9639196697642696","0.473130198749959","","","","","0.8890625","0.54375","","","","","-4.322937250137329","-2.0763857623934747","","","","","","0.9597691655766206","0.45433447883220857","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"perfect-teacher_random-demo_k=20_4","finished","-","dharakyu","","2023-01-27T09:08:45.000Z","292","","32","2","","true","false","64","40","perfect-teacher_random-demo_k=20","100","false","100","0.000005","4","perfect-teacher_random-demo_k=20_4","100","","4","","","4","true","false","/home/dharakyu/signaling-bandits/qualitative_analysis","false","","false","80","true","signaling-bandits","false","","true","false","20","","false","true","false","false","1","false","0.8","39","","0.9034375","0.5253125","","","","","-4.455573554039002","-1.9604339185357096","","","","","","0.9678590956081776","0.42182661459275234","","","","","0.90125","0.5015625","","","","","-4.501780512332917","-1.8608666890859604","","","","","","0.9692138667567444","0.3934717630646123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"perfect-teacher_random-demo_k=20_3","finished","-","dharakyu","","2023-01-27T09:03:48.000Z","290","","32","2","","true","false","64","40","perfect-teacher_random-demo_k=20","100","false","100","0.000005","4","perfect-teacher_random-demo_k=20_3","100","","4","","","4","true","false","/home/dharakyu/signaling-bandits/qualitative_analysis","false","","false","80","true","signaling-bandits","false","","true","false","20","","false","true","false","false","1","false","0.8","39","","0.8778125","0.5140625","","","","","-4.410944194793701","-2.0047157907485964","","","","","","0.9527349631497202","0.43091308417307944","","","","","0.8678125","0.51","","","","","-4.241626148223877","-1.8985067129135131","","","","","","0.9423017277030148","0.41904150365069287","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"perfect-teacher_random-demo_k=20_2","finished","-","dharakyu","","2023-01-27T08:58:44.000Z","298","","32","2","","true","false","64","40","perfect-teacher_random-demo_k=20","100","false","100","0.000005","4","perfect-teacher_random-demo_k=20_2","100","","4","","","4","true","false","/home/dharakyu/signaling-bandits/qualitative_analysis","false","","false","80","true","signaling-bandits","false","","true","false","20","","false","true","false","false","1","false","0.8","39","","0.8975","0.510625","","","","","-4.501532545089722","-1.9024636220932007","","","","","","0.9666562351276918","0.4009293312949846","","","","","0.90125","0.4971875","","","","","-4.473399374485016","-1.8046167381107807","","","","","","0.966039080885874","0.3879435827206093","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"perfect-teacher_random-demo_k=20_1","finished","-","dharakyu","","2023-01-27T08:53:56.000Z","282","","32","2","","true","false","64","40","perfect-teacher_random-demo_k=20","100","false","100","0.000005","4","perfect-teacher_random-demo_k=20_1","100","","4","","","4","true","false","/home/dharakyu/signaling-bandits/qualitative_analysis","false","","false","80","true","signaling-bandits","false","","true","false","20","","false","true","false","false","1","false","0.8","39","","0.854375","0.539375","","","","","-4.390161464214325","-2.1403248786926268","","","","","","0.9371180637479172","0.4550571364693188","","","","","0.858125","0.51375","","","","","-4.340938858985901","-1.9255051217973231","","","","","","0.9370422619305192","0.4100787315067741","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"perfect-teacher_random-demo_k=10_5","finished","-","dharakyu","","2023-01-27T08:49:06.000Z","284","","32","2","","true","false","64","40","perfect-teacher_random-demo_k=10","100","false","100","0.000005","4","perfect-teacher_random-demo_k=10_5","100","","4","","","4","true","false","/home/dharakyu/signaling-bandits/qualitative_analysis","false","","false","80","true","signaling-bandits","false","","true","false","10","","false","true","false","false","1","false","0.8","39","","0.9171875","0.468125","","","","","-4.4498833203315735","-1.2735974019765854","","","","","","0.9778864457373516","0.2714877736981452","","","","","0.916875","0.4525","","","","","-4.470850188732147","-1.2262818971276284","","","","","","0.9767868561449856","0.2615323033705156","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"perfect-teacher_random-demo_k=10_4","finished","-","dharakyu","","2023-01-27T08:44:10.000Z","290","","32","2","","true","false","64","40","perfect-teacher_random-demo_k=10","100","false","100","0.000005","4","perfect-teacher_random-demo_k=10_4","100","","4","","","4","true","false","/home/dharakyu/signaling-bandits/qualitative_analysis","false","","false","80","true","signaling-bandits","false","","true","false","10","","false","true","false","false","1","false","0.8","39","","0.8715625","0.4984375","","","","","-4.377758705615998","-1.7054238941520452","","","","","","0.9470106338793622","0.3609049260407766","","","","","0.8640625","0.47625","","","","","-4.228949310779572","-1.499052581936121","","","","","","0.9408619221360028","0.32621872821471337","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"perfect-teacher_random-demo_k=10_3","finished","-","dharakyu","","2023-01-27T08:39:11.000Z","293","","32","2","","true","false","64","40","perfect-teacher_random-demo_k=10","100","false","100","0.000005","4","perfect-teacher_random-demo_k=10_3","100","","4","","","4","true","false","/home/dharakyu/signaling-bandits/qualitative_analysis","false","","false","80","true","signaling-bandits","false","","true","false","10","","false","true","false","false","1","false","0.8","39","","0.890625","0.4753125","","","","","-4.362367205619812","-1.2770368418097495","","","","","","0.9575576668753748","0.27957763003000835","","","","","0.8771875","0.4496875","","","","","-4.248079233169555","-1.1212133421003818","","","","","","0.9471882952545302","0.2407397272130735","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"perfect-teacher_random-demo_k=10_2","finished","-","dharakyu","","2023-01-27T08:34:06.000Z","299","","32","2","","true","false","64","40","perfect-teacher_random-demo_k=10","100","false","100","0.000005","4","perfect-teacher_random-demo_k=10_2","100","","4","","","4","true","false","/home/dharakyu/signaling-bandits/qualitative_analysis","false","","false","80","true","signaling-bandits","false","","true","false","10","","false","true","false","false","1","false","0.8","39","","0.9134375","0.56125","","","","","-4.478894393444062","-2.3566264364123346","","","","","","0.974527108931584","0.5101613855632329","","","","","0.9234375","0.5584375","","","","","-4.592477903366089","-2.4038119515776635","","","","","","0.979988923776626","0.5103362468326967","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"perfect-teacher_random-demo_k=10_1","finished","-","dharakyu","","2023-01-27T08:29:18.000Z","282","","32","2","","true","false","64","40","perfect-teacher_random-demo_k=10","100","false","100","0.000005","4","perfect-teacher_random-demo_k=10_1","100","","4","","","4","true","false","/home/dharakyu/signaling-bandits/qualitative_analysis","false","","false","80","true","signaling-bandits","false","","true","false","10","","false","true","false","false","1","false","0.8","39","","0.8971875","0.498125","","","","","-4.4056676530838015","-1.582700357362628","","","","","","0.966553779612952","0.3344463524716486","","","","","0.9034375","0.500625","","","","","-4.469595544338226","-1.595505586564541","","","","","","0.9643994906751604","0.33885094274787547","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
